displayName,officialPosition,Total_Plays,Avg_POPS,Std_POPS
A'Shawn Robinson,DT,33.0,0.32315650323884354,0.037456655521970084
A.J. Bouye,CB,6.0,0.3301828231895892,0.04237183164157099
A.J. Epenesa,DE,51.0,0.32252345949886546,0.041577690680024385
A.J. Johnson,ILB,24.0,0.3345961658748484,0.04334443401447265
A.J. Klein,OLB,2.0,0.35727512370705017,0.07695380914544217
A.J. Parker,CB,5.0,0.30286056342217266,0.0
Aaron Donald,DT,162.0,0.3304939616837663,0.04083210790628502
Adam Butler,DE,123.0,0.32088073157197533,0.032863167062989376
Adam Gotsis,DE,40.0,0.31624158759457854,0.03325246484630391
Adetokunbo Ogundeji,OLB,44.0,0.3144377820754693,0.03314236589439878
Adrian Amos,FS,5.0,0.30286056342217266,0.0
Adrian Colbert,FS,2.0,0.3516008079654737,0.0689291148665176
Adrian Phillips,SS,6.0,0.3365806295371448,0.053174167554128536
Akeem Davis-Gaither,ILB,11.0,0.3381380206419682,0.04379890873952548
Akiem Hicks,DT,57.0,0.3199358002096534,0.039905799465368694
Al Woods,DT,68.0,0.31822935550841397,0.038172893442581846
Al-Quadin Muhammad,DE,88.0,0.30903956356532974,0.023363072442734324
Albert Huggins,DT,18.0,0.32347628823977803,0.040675764751711384
Alec Ogletree,ILB,6.0,0.3477940013091594,0.07800886574858595
Alex Anzalone,ILB,16.0,0.3281626685681485,0.039243986798603414
Alex Highsmith,OLB,94.0,0.31952429414139794,0.036359316873345524
Alex Okafor,DE,63.0,0.3141494756777778,0.030251873011182293
Alex Singleton,OLB,4.0,0.35482544748047856,0.06390850336870263
Alim McNeill,NT,18.0,0.3216626661052656,0.036624393220253515
Alton Robinson,DE,28.0,0.3146708458647019,0.029649884705630798
Amani Bledsoe,DE,13.0,0.3080270400435329,0.018627996371800057
Amani Hooker,FS,1.0,0.30286056342217266,
Andre Mintze,OLB,11.0,0.31413948169602174,0.03740793995544032
Andrew Adams,SS,2.0,0.30286056342217266,0.0
Andrew Billings,DT,11.0,0.3028605634221727,5.822058658345462e-17
Andrew Dowell,OLB,1.0,0.3804293195258527,
